EmployeeID,Department,DistinguishedName,Enabled,GivenName,mail,Manager,Name,ObjectClass,ObjectGUID,OfficePhone,SamAccountName,SID,sn,Surname,Title,UserPrincipalName
00001,Executive,CN=Dan Jump,TRUE,Dan,danj@cannonfodder.com,,Dan Jump,user,b7de08a6-8417-491b-be62-85945a538f46,(425) 555-0179,danj,S-1-5-21-331390976-2650875657-2422772959-1705,Jump,Jump,CEO,
00002,Operations,CN=Adam Barr,TRUE,Adam,adamb@cannonfodder.com,CN=Dan Jump,Adam Barr,user,7846c22f-d3d8-4e02-8b62-d055d0284783,(206) 555-5472,adamb,S-1-5-21-331390976-2650875657-2422772959-1706,Barr,Barr,General Manager of Professional Services,
00003,Project Management,CN=Alan Steiner,TRUE,Alan,alans@cannonfodder.com,CN=Adam Barr,Alan Steiner,user,5ff9eed7-6b0d-4b20-bed5-b0b904191880,(206) 555-2443,alans,S-1-5-21-331390976-2650875657-2422772959-1707,Steiner,Steiner,Director of Project Management Team,
00004,Project Management,CN=Chris Norred,TRUE,Chris,chrisn@cannonfodder.com,CN=Alan Steiner,Chris Norred,user,72d2b1b2-1f94-4d3a-be01-c327e35c72b6,(206) 555-1931,chrisn,S-1-5-21-331390976-2650875657-2422772959-1708,Norred,Norred,Project Manager,
00005,Operations,CN=Diane Tibbot,TRUE,Diane,dianet@cannonfodder.com,CN=Adam Barr,Diane Tibbot,user,f04f136b-df92-46bf-a161-f2990a823694,(206) 555-9327,dianet,S-1-5-21-331390976-2650875657-2422772959-1709,Tibbot,Tibbot,CFO of Professional Services,
00006,Engineering,CN=Christine Koch,TRUE,Christine,christk@cannonfodder.com,CN=Adam Barr,Christine Koch,user,bfb3de68-ea0c-4087-a0c8-176f83b674e3,(206) 555-2987,christk,S-1-5-21-331390976-2650875657-2422772959-1710,Koch,Koch,Managing Director,
00007,Executive,CN=Frank Martinez,TRUE,Frank,frankm1@cannonfodder.com,CN=Dan Jump,Frank Martinez,user,8724dd1b-c401-4487-9ea8-4c224ef67710,(425) 555-0121,frankm1,S-1-5-21-331390976-2650875657-2422772959-1711,Martinez,Martinez,COO,
00008,Accounting,CN=Karim Manar,TRUE,Karim,karimm@cannonfodder.com,CN=Diane Tibbot,Karim Manar,user,7db937b4-a31a-448f-bc54-7b871e609506,(206) 555-4156,karimm,S-1-5-21-331390976-2650875657-2422772959-1712,Manar,Manar,Controller,
00009,Sales,CN=Dan Park,TRUE,Dan,danp@cannonfodder.com,CN=Adam Barr,Dan Park,user,242f6e15-e469-4e42-9510-0483f6d019c9,(713) 555-6563,danp,S-1-5-21-331390976-2650875657-2422772959-1713,Park,Park,Vice President NA Sales,
00010,Executive,CN=Jeff Hay,TRUE,Jeff,jeffh@cannonfodder.com,CN=Frank Martinez,Jeff Hay,user,0b23837b-8fdb-4edf-a50b-325ed0625086,(425) 555-0187,jeffh,S-1-5-21-331390976-2650875657-2422772959-1714,Hay,Hay,CVP of Operations,
00011,Human Resources,CN=Garth Fort,TRUE,Garth,garthf@cannonfodder.com,CN=Karim Manar,Garth Fort,user,09636eb3-0cab-4051-9606-37c549330110,(206) 555-8258,garthf,S-1-5-21-331390976-2650875657-2422772959-1715,Fort,Fort,HR Manager,
00012,Strategy Consulting,CN=Cesar Garcia,TRUE,Cesar,cesarg@cannonfodder.com,CN=Christine Koch,Cesar Garcia,user,8ad45b6d-8c85-496a-a2d9-78422c4ee663,(212) 555-4178,cesarg,S-1-5-21-331390976-2650875657-2422772959-1716,Garcia,Garcia,Strategy Consulting Manager,
00013,Executive,CN=Christa Geller,TRUE,Christa,christg@cannonfodder.com,CN=Jeff Hay,Christa Geller,user,99612e2d-ea29-44ed-bc7e-bd17d5fd84a7,(425) 555-0177,christg,S-1-5-21-331390976-2650875657-2422772959-1717,Geller,Geller,CVP of Online,
00014,Sales Engagement Management,CN=Jack Creasey,TRUE,Jack,jackc@cannonfodder.com,CN=Dan Park,Jack Creasey,user,2a43d793-7367-4a3e-8c6e-5ec955a52038,(206) 555-4676,jackc,S-1-5-21-331390976-2650875657-2422772959-1718,Creasey,Creasey,Managing Director,
00015,Strategy Consulting,CN=David Maman,TRUE,David,davidm@cannonfodder.com,CN=Christine Koch,David Maman,user,f88a171c-b337-4c26-9c4b-824bb74a0729,(212) 555-2867,davidm,S-1-5-21-331390976-2650875657-2422772959-1719,Maman,Maman,Strategy Consulting Manager,
00016,Sales,CN=Alan Brewer,TRUE,Alan,alanb@cannonfodder.com,CN=Jack Creasey,Alan Brewer,user,9476eed7-4e97-4378-b0be-0d8ca07906fd,(804) 555-2217,alanb,S-1-5-21-331390976-2650875657-2422772959-1720,Brewer,Brewer,Regional Sales Manager,
00017,Sales Engagement Management,CN=David Simpson,TRUE,David,davids@cannonfodder.com,CN=Alan Brewer,David Simpson,user,4d339518-1c4e-46dd-8024-829f555b1562,(206) 555-1123,davids,S-1-5-21-331390976-2650875657-2422772959-1721,Simpson,Simpson,Sales Manager,
00018,Senior Management,CN=Anna Lidman,TRUE,Anna,annal@cannonfodder.com,CN=Christa Geller,Anna Lidman,user,d70e0bad-9aca-44c7-94cb-12bc7ca5f222,(425) 555-0172,annal,S-1-5-21-331390976-2650875657-2422772959-1722,Lidman,Lidman,SVP of Online Services,
00019,Sales,CN=Eduard Dell,TRUE,Eduard,eduardd@cannonfodder.com,CN=Jack Creasey,Eduard Dell,user,37b056d8-f63e-412b-b172-63d60d35ea56,(360) 555-4638,eduardd,S-1-5-21-331390976-2650875657-2422772959-1723,Dell,Dell,Regional Sales Manager,
00020,Sales,CN=Spencer Low,TRUE,Spencer,spencel@cannonfodder.com,CN=Jack Creasey,Spencer Low,user,72bd066c-d0ac-4e94-af41-11bd70dd7d40,(253) 555-7934,spencel,S-1-5-21-331390976-2650875657-2422772959-1724,Low,Low,Regional Sales Manager,
